Departamentos,mat_2023,mat_2024,mat_2025,mat_1_2023,mat_1_2024,mat_1_2025,jce_2023,jce_ 2024,jce_ 2025,n_prog_2023,n_prog_2024,n_prog_2025,tit_2023,tit_2024,tit_2025,ret_2023,ret_2024,ret_2025
Bachillerato En Ciencias Y Humanidades,298,234,273,185,127,161,"0,7","0,6","0,7",1,1,1,N/A,"0,00","0,00","0,74","0,78","0,78"
Departamento De Administracion,1675,1582,1559,373,340,357,"0,3","0,3","0,3",1,1,1,"0,59","0,61","0,62","0,82","0,84","0,84"
Departamento De Economia,0,0,0,0,0,0,"0,4","0,3","0,3",1,0,0,"0,00",-,-,"0,00",-,-
Departamento De Biologia,270,206,209,48,45,43,"0,7","0,4","0,5",1,1,1,"0,13",-,-,"0,69","0,85","0,85"
Departamento De Ciencia Y Tecnologia De Los Alimentos,259,170,179,53,35,53,"0,6","0,4","0,4",2,2,2,"0,06","0,19","0,14","0,72","0,77","0,77"
Departamento De Contabilidad Y Auditoria,1048,1125,1131,246,266,250,"0,2","0,2","0,3",1,1,1,"0,06","0,50","0,54","0,93","0,90","0,90"
Departamento De Educacion,188,153,169,46,40,47,"0,4","0,3","0,3",1,1,1,"0,55","0,56","0,66","0,85","0,88","0,88"
Departamento De Estudios Politicos,242,216,208,43,44,46,"0,6","0,5","0,6",1,1,1,"0,41","0,55","0,64","0,93","0,75","0,75"
Departamento De Filosofia,73,67,72,20,17,19,"0,9","0,5","0,8",1,1,1,"0,00","0,17","0,23","0,90","0,75","0,75"
Departamento De Fisica,545,447,449,116,88,94,"0,7","0,3","0,3",3,3,3,"0,04","0,27","0,13","0,78","0,93","0,93"
Departamento De Gestion Agraria,143,105,96,26,20,18,"0,3","0,2","0,2",1,1,1,"0,05","0,27","0,20","0,65","0,90","0,90"
Departamento De Gestion Y Politicas Publicas,583,468,435,109,96,125,"0,2","0,3","0,3",1,1,1,"0,65","0,67","0,75","0,76","0,82","0,82"
Departamento De Historia,366,321,330,88,71,100,"0,6","0,4","0,4",2,2,2,"0,00","0,51","0,55","0,70","0,69","0,69"
Departamento De Ingenieria Electrica,1066,765,731,179,156,157,"0,3","0,2","0,4",2,2,2,"0,02","0,24","0,14","0,62","0,76","0,76"
Departamento De Ingenieria En Minas,770,556,555,148,125,152,"0,4","0,3","0,3",2,2,2,"0,04","0,14","0,05","0,59","0,69","0,69"
Departamento De Ingenieria En Obras Civiles,509,425,419,88,75,101,"0,4","0,2","0,2",1,1,1,"0,05","0,40","0,16","0,78","0,67","0,67"
Departamento De Ingenieria Geoespacial Y Ambiental,498,408,385,77,72,110,"0,3","0,2","0,2",3,5,6,"0,00","0,10","0,11","0,65","0,51","0,51"
Departamento De Ingenieria Industrial,1214,912,875,250,159,181,"0,4","0,3","0,2",2,2,2,"0,03","0,34","0,19","0,76","0,84","0,84"
Departamento De Ingenieria Informatica,900,621,653,192,126,159,"0,5","0,2","0,3",2,2,2,"0,03","0,21","0,09","0,84","0,86","0,86"
Departamento De Ingenieria Mecanica,818,587,571,151,137,173,"0,4","0,3","0,3",3,3,3,"0,05","0,18","0,09","0,59","0,81","0,81"
Departamento De Ingenieria Metalurgica,429,304,280,98,89,89,"0,5","0,3","0,3",2,2,2,"0,01","0,03","0,04","0,50","0,65","0,65"
Departamento De Ingenieria Quimica Y Bioprocesos,763,634,632,151,155,174,"0,5","0,4","0,4",3,4,4,"0,02","0,19","0,15","0,64","0,76","0,76"
Departamento De Lingüistica Y Literatura,811,638,649,191,126,141,"0,2","0,3","0,3",3,3,3,"0,33","0,51","0,49","0,85","0,92","0,92"
Departamento De Matematica Y Ciencia De La Computacion,822,680,685,140,141,166,"0,4","0,2","0,2",4,4,4,"0,08","0,19","0,20","0,71","0,91","0,91"
Departamento De Publicidad E Imagen,494,432,433,87,58,97,"0,1","0,3","0,3",2,2,3,"0,59","0,62","0,68","0,91","0,93","0,93"
Departamento De Quimica De Los Materiales,67,246,234,18,58,79,"0,9","0,6","0,7",1,3,3,"0,40","0,54","0,35","0,83","0,71","0,71"
Departamento De Tecnologias De Gestion,259,183,266,93,79,122,"0,1","0,2","0,1",3,5,5,"0,34","0,41","0,45","0,78","1,00","1,00"
Departamento De Tecnologias Industriales,483,233,228,187,80,90,"0,2","0,2","0,2",4,4,4,"0,21","0,36","0,27","0,68","0,68","0,68"
Escuela De Arquitectura,541,468,478,97,74,100,"0,3","0,2","0,2",1,1,1,"0,49","0,74","0,51","0,91","0,89","0,89"
Escuela De Ciencias De La Actividad Fisica El Deporte Y La Salud,421,342,386,122,96,108,"0,1","0,2","0,2",3,3,3,"0,34","0,51","0,43","0,80","0,92","0,92"
Escuela De Enfermeria,390,284,248,68,39,41,"0,0","0,2","0,2",1,1,1,"0,17","0,52","0,67","0,85","0,76","0,76"
Escuela De Kinesiologia,290,235,242,52,43,50,"0,1","0,2","0,2",1,1,1,"0,23","0,47","0,44","0,87","0,90","0,90"
Escuela De Medicina,591,378,381,93,43,48,"0,1","0,1","0,1",1,1,1,"0,74","0,85","0,78","0,98","0,96","0,96"
Escuela De Obstetricia Y Puericultura,421,306,275,60,41,40,"0,1","0,2","0,2",1,1,1,"0,00","0,24","0,29","0,92","0,92","0,92"
Escuela De Periodismo,331,301,292,74,60,57,"0,2","0,2","0,3",1,1,1,"0,54","0,59","0,63","0,86","0,82","0,82"
Escuela De Psicologia,595,433,419,126,61,76,"0,3","0,3","0,3",1,1,1,"0,47","0,65","0,63","0,86","0,89","0,89"
Escuela De Terapia Ocupacional,275,204,198,52,40,42,"0,0","0,0","0,1",1,1,1,"0,78","0,86","0,80","0,83","0,91","0,91"
Facultad De Derecho,783,772,897,194,164,201,"0,0","0,0","0,2",1,1,1,"0,00","0,03","0,00","0,79","0,80","0,80"
Facultad De Ingenieria,537,552,635,198,180,220,"0,0","0,0","0,0",3,3,3,N/A,-,"0,09","0,71","0,45","0,45"
Facultad De Quimica Y Biologia,692,345,342,127,69,71,"0,0","0,0","0,0",3,1,1,"0,20","0,38","0,28","0,83","0,91","0,91"
Facultad De Ciencias Medicas,N/A,0,0,N/A,0,0,"0,1","0,2","0,2",8,0,0,N/A,"0,41","0,32",N/A,-,-
Departamento De Ciencias Del Ambiente,N/A,0,0,N/A,0,0,"0,9","0,5","0,5",1,0,0,N/A,-,-,N/A,-,-
total,21460,17338,17499,4666,3735,4358,"0,26","0,28","0,29",81,76,78,,"0,38","0,30",,"0,78","0,79"
